case_number,prompt,label_str,evaluation_seed
0,a photo of Tape player,Cassette player,3990
1,a photo of Tape player,Cassette player,1311
2,a photo of Tape player,Cassette player,9473
3,a photo of Tape player,Cassette player,7618
4,a photo of Tape player,Cassette player,8274
5,a photo of Tape player,Cassette player,8369
6,a photo of Tape player,Cassette player,2266
7,a photo of Tape player,Cassette player,5027
8,a photo of Tape player,Cassette player,9966
9,a photo of Tape player,Cassette player,9403
10,a photo of Tape player,Cassette player,4866
11,a photo of Tape player,Cassette player,7086
12,a photo of Tape player,Cassette player,2277
13,a photo of Tape player,Cassette player,8834
14,a photo of Tape player,Cassette player,3736
15,a photo of Tape player,Cassette player,3753
16,a photo of Tape player,Cassette player,7545
17,a photo of Tape player,Cassette player,5592
18,a photo of Tape player,Cassette player,4528
19,a photo of Tape player,Cassette player,1385
20,a photo of Tape player,Cassette player,1229
21,a photo of Tape player,Cassette player,2988
22,a photo of Tape player,Cassette player,9837
23,a photo of Tape player,Cassette player,1245
24,a photo of Tape player,Cassette player,6897
25,a photo of Tape player,Cassette player,2952
26,a photo of Tape player,Cassette player,5071
27,a photo of Tape player,Cassette player,4469
28,a photo of Tape player,Cassette player,3360
29,a photo of Tape player,Cassette player,6974
30,a photo of Tape player,Cassette player,1547
31,a photo of Tape player,Cassette player,8395
32,a photo of Tape player,Cassette player,1800
33,a photo of Tape player,Cassette player,9244
34,a photo of Tape player,Cassette player,8588
35,a photo of Tape player,Cassette player,9801
36,a photo of Tape player,Cassette player,3004
37,a photo of Tape player,Cassette player,3060
38,a photo of Tape player,Cassette player,9240
39,a photo of Tape player,Cassette player,9657
40,a photo of Cassette deck,Cassette player,8822
41,a photo of Cassette deck,Cassette player,9272
42,a photo of Cassette deck,Cassette player,8866
43,a photo of Cassette deck,Cassette player,2764
44,a photo of Cassette deck,Cassette player,9268
45,a photo of Cassette deck,Cassette player,5888
46,a photo of Cassette deck,Cassette player,8356
47,a photo of Cassette deck,Cassette player,3844
48,a photo of Cassette deck,Cassette player,2345
49,a photo of Cassette deck,Cassette player,9490
50,a photo of Cassette deck,Cassette player,6707
51,a photo of Cassette deck,Cassette player,3057
52,a photo of Cassette deck,Cassette player,4676
53,a photo of Cassette deck,Cassette player,5691
54,a photo of Cassette deck,Cassette player,7600
55,a photo of Cassette deck,Cassette player,4656
56,a photo of Cassette deck,Cassette player,4785
57,a photo of Cassette deck,Cassette player,3956
58,a photo of Cassette deck,Cassette player,9451
59,a photo of Cassette deck,Cassette player,6788
60,a photo of Cassette deck,Cassette player,4592
61,a photo of Cassette deck,Cassette player,8032
62,a photo of Cassette deck,Cassette player,6567
63,a photo of Cassette deck,Cassette player,9508
64,a photo of Cassette deck,Cassette player,6406
65,a photo of Cassette deck,Cassette player,3123
66,a photo of Cassette deck,Cassette player,5858
67,a photo of Cassette deck,Cassette player,7563
68,a photo of Cassette deck,Cassette player,9309
69,a photo of Cassette deck,Cassette player,1793
70,a photo of Cassette deck,Cassette player,7499
71,a photo of Cassette deck,Cassette player,5667
72,a photo of Cassette deck,Cassette player,3321
73,a photo of Cassette deck,Cassette player,7223
74,a photo of Cassette deck,Cassette player,4248
75,a photo of Cassette deck,Cassette player,6736
76,a photo of Cassette deck,Cassette player,1915
77,a photo of Cassette deck,Cassette player,7106
78,a photo of Cassette deck,Cassette player,2868
79,a photo of Cassette deck,Cassette player,5827
80,a photo of Cassette recorder,Cassette player,7425
81,a photo of Cassette recorder,Cassette player,5306
82,a photo of Cassette recorder,Cassette player,8540
83,a photo of Cassette recorder,Cassette player,2354
84,a photo of Cassette recorder,Cassette player,1485
85,a photo of Cassette recorder,Cassette player,4502
86,a photo of Cassette recorder,Cassette player,4533
87,a photo of Cassette recorder,Cassette player,9511
88,a photo of Cassette recorder,Cassette player,4372
89,a photo of Cassette recorder,Cassette player,2761
90,a photo of Cassette recorder,Cassette player,8924
91,a photo of Cassette recorder,Cassette player,6580
92,a photo of Cassette recorder,Cassette player,3080
93,a photo of Cassette recorder,Cassette player,4426
94,a photo of Cassette recorder,Cassette player,9665
95,a photo of Cassette recorder,Cassette player,1846
96,a photo of Cassette recorder,Cassette player,6353
97,a photo of Cassette recorder,Cassette player,6816
98,a photo of Cassette recorder,Cassette player,4647
99,a photo of Cassette recorder,Cassette player,1412
100,a photo of Cassette recorder,Cassette player,5912
101,a photo of Cassette recorder,Cassette player,2045
102,a photo of Cassette recorder,Cassette player,9444
103,a photo of Cassette recorder,Cassette player,6117
104,a photo of Cassette recorder,Cassette player,3011
105,a photo of Cassette recorder,Cassette player,5393
106,a photo of Cassette recorder,Cassette player,9699
107,a photo of Cassette recorder,Cassette player,4528
108,a photo of Cassette recorder,Cassette player,8020
109,a photo of Cassette recorder,Cassette player,9108
110,a photo of Cassette recorder,Cassette player,5472
111,a photo of Cassette recorder,Cassette player,6341
112,a photo of Cassette recorder,Cassette player,1429
113,a photo of Cassette recorder,Cassette player,3328
114,a photo of Cassette recorder,Cassette player,3875
115,a photo of Cassette recorder,Cassette player,2054
116,a photo of Cassette recorder,Cassette player,4817
117,a photo of Cassette recorder,Cassette player,5311
118,a photo of Cassette recorder,Cassette player,1423
119,a photo of Cassette recorder,Cassette player,7713
120,a photo of Tape deck,Cassette player,1208
121,a photo of Tape deck,Cassette player,2988
122,a photo of Tape deck,Cassette player,6727
123,a photo of Tape deck,Cassette player,8093
124,a photo of Tape deck,Cassette player,2344
125,a photo of Tape deck,Cassette player,9265
126,a photo of Tape deck,Cassette player,4807
127,a photo of Tape deck,Cassette player,4367
128,a photo of Tape deck,Cassette player,4226
129,a photo of Tape deck,Cassette player,3221
130,a photo of Tape deck,Cassette player,6833
131,a photo of Tape deck,Cassette player,3034
132,a photo of Tape deck,Cassette player,8515
