Cathedral
Chapel
Basilica
Mosque
Synagogue
Temple
Monastery
Abbey
Convent
Shrine
Pagoda
Gurdwara
Meeting house
Hall
Auditorium
Theatre
Town hall
Courthouse
Library
Museum
Government building
Monument
Memorial
Pavilion
Mausoleum
Clock tower
Bell tower
Tower
Spire
Lighthouse
Observatories
School building
College building
University building
Civic center
Cultural center
Performing arts center
Concert hall
Opera house
Exhibition hall
Art gallery
Banquet hall
Reception hall
Retreat center
Study center
Meditation center
Wellness center
Fitness center
Community center
Social hall
Assembly hall
Workshop space
Conference center
Religious retreat
Pilgrimage center
Chapel on a ship
Shrine on a mountain
Altar room
Sacred space
Retreat chapel
Prayer room
Crypt
Vault
Cloister
Sacristy
Baptistery
Oratory
Pilgrimage site
Meditation hall
Iconostasis
Spiritual center
Hermitage
Parish house
Clergy house
Mission center
Evangelical center
Gospel hall
Fellowship hall
Religious education center
Bible study hall
Pastoral center
Ecumenical center
Chapel in a hospital
Chapel in a college
Prayer hall
Sanctum
Peace pavilion
Reflection room
Study chapel
Confession booth
Altar space
Devotional space
Prayer garden
Religious monument
Spiritual retreat
Clergy office
Meditation pavilion
Liturgical space
Zen garden
Sacred garden
